NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude
105 Losmen,Non Bintang,Melati,15.0,Sosrowijayan Wetan GT I/105,-7.790382,110.36593
51 Losmen,Non Bintang,Melati,2.0,Sosrowijayan Wetan Gt I/51 RT 013 RW 02,-7.790211,110.36412
Abadi Hotel Malioboro,Bintang,Bintang Tiga,85.0,Jl. Pasar Kembang No. 49,-7.790189,110.36325
Abrakadabra ART B&B,Non Bintang,Akomodasi Lain,6.0,Minggiran Baru No. 19,-7.820833,110.36107
Adaro Homestay,Non Bintang,Vila,2.0,Demakan Baru TR III/765,-7.790391,110.35188
Adelia Homestay,Non Bintang,Akomodasi Lain,4.0,Tentara Zeni Pelajar No. 63 RT 006 RW 002,-7.783499,110.35843
Adem Ayem Homestay,Non Bintang,Akomodasi Lain,5.0,Suryodiningratan No. 913,-7.818357787,110.3607297
Adhisthana Hotel,Non Bintang,Melati,54.0,Jl. Prawirotaman II No. 613,-7.819821,110.37219
Adya Nalendra Hotel,Non Bintang,Melati,15.0,Jl. Trimargo Kulon No. 94,-7.779148,110.36407
Agung Guest House,Non Bintang,Melati,11.0,Prawirotaman MG III/609,-7.820158,110.37243
Agung Inn And Tourist Service,Non Bintang,Pondok Wisata,7.0,Jl. Prawirotaman No. 30,-7.819057,110.37151
Agung Kencana Hotel,Non Bintang,Melati,30.0,Jl. Menteri Supeno No. 55,-7.815849,110.3798
Agung Mas Hotel,Non Bintang,Melati,38.0,Jl. Hos Cokroaminoto No. 108,-7.791195,110.35397
Ainard Wisma,Non Bintang,Pondok Wisata,12.0,Jl. Miliran No.14 RT 014 RW 04,-7.800715,110.3878
Airlangga Hotel,Bintang,Bintang Satu,24.0,Jl. Prawirotaman No. 6-8,-7.818848,110.36898
Akur Hotel,Non Bintang,Melati,23.0,Jl. Mataram No. 8,-7.793972,110.36785
Akur Losmen,Non Bintang,Pondok Wisata,3.0,Sosrowijayan Kulon GT I/183,-7.791103,110.36333
Al Barokah Hotel,Non Bintang,Melati,20.0,Jl. Balirejo No. 27,-7.797191,110.39404
Aladira Homestay,Non Bintang,Vila,3.0,Ngadinegaran MJ III No. 21,-7.814342,110.36394
All Attar Penginapan,Non Bintang,Melati,12.0,Jl. Veteran No. 218 Pandeyan,-7.81589,110.38518
Aloha Hotel,Non Bintang,Melati,15.0,Prawirotaman MG III/573 B,-7.818566,110.37221
AM Penginapan,Non Bintang,Melati,6.0,Jl. Ontorejo 2,-7.803286,110.3536
Amalia Hotel,Bintang,Bintang Satu,20.0,Sosrowijayan GT I/108,-7.792013,110.36532
Amarilis Homestay,Non Bintang,Akomodasi Lain,3.0,"Badran, Gg. Wijaya Kusuma No. 3 RT 42 RW 09",-7.787669,110.35629
Amaris Hotel,Bintang,Bintang Dua,71.0,Jl. Pangeran Diponegoro No.87,-7.782986,110.36284
Amaris Malioboro Hotel,Bintang,Bintang Empat,110.0,Jl. Pajeksan No. 10 Sosromenduran,-7.795822,110.36467
Amaris Sagan Hotel,Bintang,Bintang Tiga,102.0,Jl. Prof Herman Yohanes No.16,-7.779943,110.3792
AMM Wisma,Non Bintang,Akomodasi Lain,6.0,Purbayan,-7.830131,110.40297
Ancora Hotel,Non Bintang,Melati,22.0,Jl. Letjen Suprapto No. 36,-7.798221,110.35661
Anda Losmen,Non Bintang,Melati,5.0,Sosrowijayan Wetan GT I/143,-7.790364,110.36407
Andika Hotel,Non Bintang,Melati,37.0,Jl. Kapten Tendean No.61,-7.807057,110.35068
Andika Putra Hotel,Non Bintang,Melati,30.0,Jl. Kapten Tendean No. 6,-7.801579,110.3514
