nama,type,latitude,longitude,htm_weekday,htm_weekend,jarak_pusat_km,vote_average,vote_count,jumlah_hotel_terdekat
Candi Borobudur,Budaya dan Sejarah,-7.607086854,110.2036226,50000.0,50000.0,26.58,4.7,81922,0.01
Candi Prambanan,Budaya dan Sejarah,-7.751834561,110.4915318,50000.0,50000.0,14.14,4.7,71751,0.01
Tebing Breksi,Alam,-7.781476547,110.5045757,10000.0,10000.0,15.15,4.4,51431,0.01
Gembira Loka Zoo,Buatan,-7.8062344,110.3967977,20000.0,25000.0,4.18,4.5,36337,119.0
The Palace of Yogyakarta (Keraton Yogyakarta),Budaya dan Sejarah,-7.8052845,110.3642031,8000.0,8000.0,2.51,4.6,30091,492.0
Taman Sari,Budaya dan Sejarah,-7.809833449,110.3595117,5000.0,5000.0,3.11,4.6,27899,459.0
Hutan Pinus Mangunan Dlingo,Alam,-7.9267837,110.4319967,3000.0,3000.0,17.52,4.6,18271,0.01
Jogja Bay,Wisata Air,-7.7478461,110.4188754,90000.0,100000.0,6.91,4.4,16877,0.01
The World Landmarks - Merapi Park Yogyakarta,Buatan,-7.6209046,110.4216275,15000.0,15000.0,18.99,4.2,16201,0.01
The Lost World Castle,Buatan,-7.6041648,110.4510042,30000.0,30000.0,21.92,4.3,16110,0.01
Fort Vredeburg Museum,Budaya dan Sejarah,-7.8002016,110.3663044,3000.0,3000.0,1.93,4.6,15281,511.0
Museum Benteng Vredeburg,Budaya dan Sejarah,-7.799287456,110.3661757,3000.0,3000.0,1.83,4.6,15279,513.0
Sindu Kusuma Edupark (SKE),Buatan,-7.7672973,110.3542486,20000.0,20000.0,2.24,4.2,14072,164.0
Tugu,Budaya dan Sejarah,-7.7828822,110.3670514,0.01,0.01,0.01,4.8,13330,330.0
Heha Sky View,Buatan,-7.848530311,110.4787102,10000.0,10000.0,14.3,4.4,13048,0.01
Pantai Goa Cemara,Pantai,-7.999423,110.248963,4000.0,4000.0,27.37,4.3,12755,0.01
XT Square,Buatan,-7.8165658,110.3866908,25000.0,25000.0,4.32,4.3,12396,249.0
Kaliadem,Alam,-7.582047728,110.4476387,3000.0,3000.0,24.03,4.5,12338,0.01
Monumen Yogya Kembali,Museum,-7.7495904,110.3696068,15000.0,15000.0,3.71,4.5,11302,6.0
Ratu Boko,Budaya dan Sejarah,-7.7705416,110.4894158,40000.0,40000.0,13.55,4.6,11176,0.01
Depok Beach,Pantai,-8.0137087,110.2914777,10000.0,10000.0,26.98,4.3,10820,0.01
Central Museum of the Air Force Dirgantara Mandala,Museum,-7.7899338,110.4156788,3000.0,3000.0,5.41,4.5,9828,16.0
Masjid Gedhe Kauman,Budaya dan Sejarah,-7.802697521,110.3625956,0.01,0.01,2.26,4.8,9784,493.0
Bukit Paralayang Watugupit,Alam,-8.026589501,110.3458478,5000.0,5000.0,27.2,4.7,9614,0.01
Pantai Drini,Pantai,-8.1384509,110.577522,10000.0,10000.0,45.83,4.5,8969,0.01
Pantai Parangtritis,Pantai,-8.024608,110.3298045,6000.0,6000.0,27.19,4.5,8727,0.01
Embung Tambakboyo,Buatan,-7.756227,110.4150131,2000.0,2000.0,6.05,4.4,8564,0.01
Lava Merapi and Alien Stone,Alam,-7.6023375,110.4552585,350000.0,350000.0,22.3,4.5,8111,0.01
Candi Plaosan,Budaya dan Sejarah,-7.7407807,110.5046772,3000.0,3000.0,15.86,4.6,7855,0.01
Agro Tourism Bhumi Merapi,Agrowisata,-7.6400756,110.4264098,30000.0,30000.0,17.17,4.5,7697,0.01
Wisata Kalibiru,Alam,-7.8057305,110.127969,10000.0,10000.0,26.47,4.4,6912,0.01
De Mata Trick Eye Museum,Buatan,-7.8163156,110.3871442,40000.0,40000.0,4.32,4.4,6855,247.0
Candi Sambisari,Budaya dan Sejarah,-7.762491,110.4470374,5000.0,5000.0,9.09,4.6,6238,0.01
Pantai Wediombo,Pantai,-8.1902176,110.7103772,5000.0,5000.0,58.99,4.5,6072,0.01
Pantai Parangkusumo,Pantai,-8.022769,110.324995,3000.0,3000.0,27.07,4.4,5887,0.01
Taman Sungai Mudal,Alam,-7.7628136,110.1161626,10000.0,10000.0,27.74,4.6,5499,0.01
Taman Pelangi Jogja,Buatan,-7.7505259,110.3687049,15000.0,20000.0,3.6,4.3,5459,7.0
Situs Warungboto,Budaya dan Sejarah,-7.8102685,110.3931513,0.01,0.01,4.18,4.4,5392,196.0
Pantai Cemara Sewu Bantul Yogyakarta,Pantai,-8.019114,110.3145616,10000.0,10000.0,26.9,4.4,5372,0.01
Bukit Klangon,Alam,-7.5768966,110.4548266,5000.0,5000.0,24.86,4.5,5280,0.01
Taman Wisata Kaliurang,Alam,-7.598797,110.42636,8000.0,8000.0,21.49,4.4,5217,0.01
Jogja National Museum,Museum,-7.8001175,110.3534164,0.01,0.01,2.44,4.6,5041,449.0
Taman Pintar Yogyakarta,Buatan,-7.799757357,110.3678697,20000.0,20000.0,1.88,4.5,4846,519.0
Pantai Indrayanti,Pantai,-8.1508415,110.6129852,12000.0,12000.0,49.06,4.4,4793,0.01
Mangrove Jembatan Api-Api (MJAA),Alam,-7.89485,110.0253631,8000.0,8000.0,39.65,4.3,4425,0.01
